id,title,authors,year,venue,source_db,search_string,v1_decision,v1_reason
70,Prompt-Based REST API Test Amplification in Industry: An Experience Report,"T Bardakci, A Faes, M Beyazit, S Demeyr",2026,arXiv preprint arXiv:2601.17903,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About test AMPLIFICATION, not generation"
71,Agentic LLMs for REST API Test Amplification: A Comparative Study Across Cloud Applications,"J Besjes, R Nooyens, T Bardakci, M Beyazit…",2025,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About test AMPLIFICATION, not generation"
72,LLM-based agents in software testing: a systematic mapping study,J Tyynelä,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: Systematic mapping, no experiment"
73,The current challenges of software engineering in the era of large language models,"C Gao, X Hu, S Gao, X Xia, Z Jin",2025,ACM Transactions on Software …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: Survey/overview, no experiment"
74,Acceptance test generation with large language models: An industrial case study,"M Ferreira, L Viegas, JP Faria…",2025,"IEEE/ACM …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Gherkin acceptance tests, not REST API test gen"
75,Multi-Agent LLM-based Metamorphic Testing for REST APIs,"S Khan, A Mughees, G Sudheerbabu, T Ahmad…",2026,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About METAMORPHIC testing, not generation"
76,LLM-Assisted Test Automation: A Cognitive Software Testing Framework Using Generative AI,C Temel,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: techRxiv preprint, not peer-reviewed"
77,Evaluation of Large Language Models for Unit Test Generation,"M Konuk, C Baglum, U Yayan",2024,"Innovations in Intelligent …, 2024",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Unit test evaluation, not REST API"
78,Automating a complete software test process using llms: An automotive case study,"S Wang, Y Yu, R Feldt, D Parthasarathy",2025,arXiv preprint arXiv:2502.04008,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis/preprint, not peer-reviewed"
79,RESTifAI: LLM-Based Workflow for Reusable REST API Testing,"L Kogler, M Ehrhart, B Dornauer, EP Enoiu",2025,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
80,Technology adoption performance evaluation applied to testing industrial REST APIs,"A Poth, O Rrjolli, A Arcuri",2025,Automated Software Engineering,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC6: About technology ADOPTION evaluation
81,Automated user story generation with test case specification using large language model,"T Rahman, Y Zhu",2024,arXiv preprint arXiv:2404.01558,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC5: User story generation, not test gen"
82,Comparative Analysis of the Efficiency of Generation of Unit Test Cases: Manual Methods Versus Automation with Llm,"R Díaz-Arrieta, B Díaz-Monroy, L Castillo",2024,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC4: Primarily unit testing
83,Introducing black-box fuzz testing for rest apis in industry: Challenges and solutions,"A Arcuri, A Poth, O Rrjolli",2025,"IEEE Conference on Software …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About industry CHALLENGES, not generation"
84,Enhancing API Testing Through Genetic Algorithm-Based Chaos Engineering,"M Ait Said, L Belouaddane, M Soukaina…",2025,… Conference on Artificial …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,IC4: No LLM used (genetic algorithm)
85,Prompt Driven Test Generation: Leveraging Large Language Models and Knowledge Graphs for Quality Assurance in Data Intensive Software System,SR Kosna,2025,International Conference on Software Engineering and …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About knowledge graphs broadly, not REST API test gen"
86,AI driven Test Scenario Generator,A Chatterjee,2025,"5th International Conference on …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About test SCENARIO gen broadly, vague metrics"
87,"Advancing Software Test Management, Effort Estimation, and Educational Practices with Predictive and Generative AI",S Haldar,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Test management, not test gen"
88,Development and verification of an orchestration architecture of AI agents for automated API testing with a unified representation of requirements,M Moskalenko,2026,Technology audit and production reserves,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC7: Questionable venue (journals.uran.ua)
89,Improving patch correctness analysis via random testing and large language models,"F Molina, JM Copia, A Gorla",2024,"IEEE Conference on …, 2024",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Patch correctness, not REST API test gen"
90,Combining Static and Dynamic Approaches for Mining and Testing Constraints for RESTful API Testing,"H Huynh, T Le, V Nguyen, TN Nguyen",2025,arXiv e-prints,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About constraint MINING, not test generation"
91,Baseline evaluation of llm-facilitated ui test-case generation from gherkin specifications,"A Poth, O Rrjolli, H Wang, K Schmid",2025,European Conference on Software …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: UI test generation, not REST API"
92,Reference-based retrieval-augmented unit test generation,"Z Zhang, X Liu, Y Lin, X Gao, H Sun…",2026,ACM Transactions on …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Unit test generation, not REST API"
93,An approach to generating api test scripts using gpt,"C Nguyen, H Bui, V Nguyen, T Nguyen",2023,Proceedings of the 12th …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
94,Debugging Large and Long-Running Applications Using Generated Tests,D Leskovar,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Debugging, not REST API test gen"
95,"AI-Based Test Case Generation from Jira Stories, Swagger, or Code",P Palanisamy,2024,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC7: Questionable venue (ijctjournal.org)
96,Full-Scale Software Engineering,"S Coban, A Mattukat, A Slupczynski",2024,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC3: Seminar proceedings, too short"
97,Fuzzing REST APIs in Industry: Necessary Features and Open Problems,"A Arcuri, A Poth, O Rrjolli, P Garrett…",2026,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About features/open PROBLEMS, not generation"
98,Utilizing API Response for Test Refinement,"D Sondhi, A Sharma, D Saha",2025,arXiv preprint arXiv:2501.18145,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About test REFINEMENT, not generation"
99,A LLM-Based Approach for End-to-End Web GUI Test Script Generation and Execution,"W Duan, J Huang, F Wang, H Liu, T Gao…",,Available at SSRN …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC4: GUI test scripts, not REST API"
100,Analysis and automation in service-based systems: test generation and healing for non-regression and security,J Sue,2025,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC7: Thesis (HAL), not peer-reviewed"
101,A CONTRACT-DRIVEN AUTOMATED UNIT TEST MAINTENANCE APPROACH WITH GENERATIVE ARTIFICIAL INTELLIGENCE FOR BACKEND SOFTWARE …,"FS Akıncı, T Tuğlular",2025,Akıllı Sistemler Dergisi,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC5: Test maintenance, not generation"
102,Advancing Practical Automated Security Testing for Web Applications,L Pan,2025,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC7: Thesis (Univ. Melbourne), not peer-reviewed"
103,LLMFuzzTestGen: From Automation to Robustness via Multi-Agent LLM-Driven Fuzzing and Feedback Loops,"JA Nuh, TW Koh, MH Osman, B Lawal…",2025,"7th …, 2025",Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
104,A retrospective on whole test suite generation: On the role of sbst in the age of llms,"G Fraser, A Arcuri",2025,IEEE Transactions on Software Engineering,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"IC5: Retrospective, no experiment"
105,Aligning Academia with Industry: An Empirical Study of Industrial Needs and Academic Capabilities in AI-Driven Software Engineering,"H Yu, Y Lai, L Zhang, X Lian, F Liu, Y Dong…",2025,arXiv preprint arXiv …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC4: Academia-industry study, not test gen"
106,BOSQTGEN: Breaking the Sound Barrier in Test Generation,"SM Asif, J Chen, ET Barr, M Marron",2025,arXiv preprint arXiv:2510.19777,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC6: About COMBINATORIAL testing broadly
107,Test Oracle Generation for REST APIs,"JC Alonso, MD Ernst, S Segura…",2025,ACM Transactions on …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC6: About test ORACLE generation, not test case gen"
108,"WFC/WFD: Web Fuzzing Commons, Dataset and Guidelines to Support Experimentation in REST API Fuzzing","O Sahin, M Zhang, A Arcuri",2025,arXiv preprint arXiv:2509.01612,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC6: DATASET paper, not test generation approach"
109,From Developer Assistance to Complete Development Automation: A Workflow-Centric Framework for AI Code Generation,"V Sonkin, C Tudose",2025,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: General SE automation
110,"Log-based, Business-aware REST API Testing","D Yang, R Qian, Z Wei, Z Chen, C Fang",2026,arXiv preprint arXiv:2604.08007,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC6: About testing APPROACH (log-based), not generation"
111,Generative AI for Software Development Automation,SKN Banoth,2026,Available at SSRN 6556058,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,IC5: General survey
112,Enhancing rest api testing with nlp techniques,"M Kim, D Corradini, S Sinha, A Orso…",2023,Proceedings of the …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
113,"Automated and Effective Metamorphic Testing: Relation Discovery, Deduction, and Generation",C Xu,2026,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC7: Thesis (HKUST), not peer-reviewed"
114,Usability of LLMs for Assisting Software Engineering: A Literature Review,D Hussein,2024,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"IC5: Literature review, no experiment"
115,Rest api testing in devops: A study on an evolving healthcare iot application,"H Sartaj, S Ali, J Marie Gjøby",2026,ACM Transactions on Software …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC6: About testing in DEVOPS, not generation"
116,Efficient Fuzzing of Web APIs in Embedded Environments,"K Alemo, F Orheim",2026,LU-CS-EX,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,IC4: No LLM used (traditional fuzzing)
117,Rest API Functional Tester,"D Saha, D Sondhi, S Haldar, S Sinha",2025,Proceedings of the 18th …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
118,Detecting and Mitigating Flakiness in REST API Fuzzing,"M Zhang, C Shen, A Arcuri, T Yue",2026,arXiv preprint arXiv:2603.28452,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC6: About test FLAKINESS, not generation"
119,Hamster: A Large-Scale Study and Characterization of Developer-Written Tests,"R Pan, T Stennett, R Pavuluri, N Levin, A Orso…",2025,arXiv preprint arXiv …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC5: Characterization study, not gen"
120,Real-World Fault Detection for C-Extended Python Projects with Automated Unit Test Generation,"L Berg, L Krodinger, S Lukasczyk, A Panichella…",2026,arXiv preprint arXiv …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC4: Python unit test, not REST API"
121,Search-Based Software Engineering and AI Foundation Models: Current Landscape and Future Roadmap,"H Sartaj, S Ali, P Arcaini, A Arcuri",2025,arXiv preprint arXiv:2505.19625,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"IC5: Roadmap, no experiment"
122,When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure,"J Ma, N He, J Xi, M Xing, L Liu, J Luo, X Fu…",2026,Proceedings of the …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC4: Ethereum-specific, too niche"
123,A Hybrid Neuro-Symbolic BDI Multi-Agent Architecture for LLM-Based Unit Test Generation,"M Üstgel, E Askın, BT Tezel, M Challenger",,environments,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC4: Unit test gen, not REST API"
124,Prompt fuzzing for fuzz driver generation,"Y Lyu, Y Xie, P Chen, H Chen",2024,"Proceedings of the on ACM …, 2024",Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC4: Fuzz driver, not REST API test gen"
125,AI IN WEB DEVELOPMENT: A COMPARATIVE STUDY ON TRADITIONAL VS AI-DRIVEN APPROACHES,"S Ch, V Ch",2026,Power System Protection and Control,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,IC5: General comparison
126,A Case for Learned Cloud Emulators,"A Bhatnagar, Y Qiu, S McClure, S Ratnasamy…",2025,Proceedings of the 24th …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: Cloud emulators
127,Why android app testing falls short: empirical insights from open-source projects and a practitioner survey,"T Mahmud, M Che, A Ngu, G Yang",2025,Empirical Software Engineering,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: Android testing
128,"Systems, Software and Services Process Improvement: 32nd European Conference, EuroSPI 2025, Riga, Latvia, September 17–19, 2025, Proceedings, Part I","M Yilmaz, P Clarke, A Riel, R Messnarz, M Zelmenis…",2025,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC3: Conference proceedings book
129,Use Cases for AI Driven Coding-Using Vibe Coding Seriously in Enterprise Environment,J Ayo,2026,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: Vibe coding
130,Pool++: Enhancing Unit Test Coverage Through Audio Data and Mock Generation,PP Ferreira,2025,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: Unit test coverage
131,Quantum artificial intelligence for software engineering: The road ahead,"X Wang, S Ali, P Arcaini",2025,arXiv preprint arXiv:2505.04797,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: Quantum AI
132,AI and Microservices: Integrating AI Into API Design and Distributed Microservice Architecture,"DK Pandiya, N Charankar",2025,,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC3: Book, not research paper"
133,Connecting Requirements Engineering to Agentic Development,"J Kawelke, T Niebisch",2026,AI-Driven Transformation-Practical Frameworks for …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: Requirements engineering
134,ICSE 2024,M Rinard,,computer.org,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC3: Conference index page
135,AI and Microservices,"AI Integrating, DK Pandiya, N Charankar",,Springer,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC1: Duplicate of #132
136,Demystifying react native android apps for static analysis,"Y Liu, X Chen, P Liu, J Samhi, J Grundy…",2025,ACM Transactions on …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,EC4: React Native static analysis
137,The future of ai-enhanced microservices and apis,"DK Pandiya, N Charankar",2025,AI and Microservices: Integrating AI Into API …,Google Scholar,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection""",EXCLUDE,"EC4: Book chapter, not empirical"
